country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8
Moldova,2014,,,10.2184515,,,,,
Moldova,2015,,,11.741746,,,,,
Moldova,2016,,,17.755827,,,,,
Moldova,2017,,,13.721227,,,,,
Moldova,2018,,,10.672904,,,,,
Moldova,2019,,,,17.986479,,,,
Moldova,2020,,,,13.174953,,,,
Moldova,2021,,,,22.439266,,,,
Moldova,2022,,,,12.264227,,,,
Moldova,2023,,,,17.057903,,,,
Mongolia,1995,32.21775,,,,,,,
Mongolia,1998,37.412323,,,,,,,
Mongolia,2002,,30.904604,,,,,,
Mongolia,2007,,,20.965933,,,,,
Mongolia,2010,,,,20.335848,,,,
Mongolia,2011,,,,19.367268,,,,
Mongolia,2012,,,,17.745565,,,,
Mongolia,2014,,,,18.199478,,,,
Mongolia,2016,,,,18.854914,,,,
Mongolia,2018,,,,19.072199,,,,
Mongolia,2022,,,,,17.473679,,,
Montenegro,2005,17.663904,,,,,,,
Montenegro,2006,20.093002,,,,,,,
Montenegro,2007,30.498266,,,,,,,
Montenegro,2008,34.35312,,,,,,,
Montenegro,2009,8.200263,,,,,,,
Montenegro,2010,10.88888,,,,,,,
Montenegro,2011,26.791983,,,,,,,
Montenegro,2012,48.36198,,,,,,,
Montenegro,2013,36.43608,,,,,,,
Montenegro,2014,14.250003,,,,,,,
Morocco,1984,32.946304,,,,,,,
Morocco,1990,26.246254,,,,,,,
Morocco,1998,30.235674,,,,,,,
Morocco,2000,,29.231031,,,,,,
Morocco,2006,,25.953287,,,,,,
Morocco,2013,,22.559605,,,,,,
Mozambique,1996,72.32705,,,,,,,
Mozambique,2002,66.83363,,,,,,,
Mozambique,2008,60.79529,,,,,,,
Mozambique,2014,59.387108,,,,,,,
Mozambique,2019,64.2515,,,,,,,
Mozambique,2022,63.407497,,,,,,,
Myanmar,2015,28.646906,,,,,,,
Myanmar,2017,23.429811,,,,,,,
Namibia,2003,,47.377663,,,,,,
Namibia,2009,,42.824436,,,,,,
Namibia,2015,,41.148937,,,,,,
Nauru,2012,24.693483,,,,,,,
Nepal,1995,,49.776447,,,,,,
Nepal,2003,,44.377197,,,,,,
Nepal,2010,,,28.87101,,,,,
Nepal,2022,,,,19.227999,,,,
Nicaragua,1993,41.24768,,,,,,,
Nicaragua,1998,37.11967,,,,,,,
Nicaragua,2001,37.241783,,,,,,,
Nicaragua,2005,,35.26656,,,,,,
Niger,1992,61.755688,,,,,,,
Niger,1994,,67.36053,,,,,,
Niger,2005,,,62.740414,,,,,
Niger,2007,,,,58.389324,,,,
Niger,2011,,,,,46.0538,,,
Niger,2014,,,,,45.737377,,,
Niger,2018,,,,,,43.524445,,
Niger,2021,,,,,,42.401543,,
Nigeria,1985,46.258743,,,,,,,
Nigeria,1992,,52.94026,,,,,,
Nigeria,1996,,,55.082115,,,,,
Nigeria,2003,,,,46.367344,,,,
Nigeria,2010,,,,,38.392616,,,
Nigeria,2012,,,,,37.998318,,,
Nigeria,2015,,,,,37.586704,,,
Nigeria,2018,,,,,,36.850063,,
Nigeria,2022,,,,,,38.442497,,
North Macedonia,1998,22.141829,,,,,,,
North Macedonia,2000,,31.185179,,,,,,
North Macedonia,2002,,25.501806,,,,,,
North Macedonia,2003,,22.622074,,,,,,
North Macedonia,2004,,23.334593,,,,,,
North Macedonia,2005,,26.000786,,,,,,
North Macedonia,2006,,30.520817,,,,,,
North Macedonia,2008,,23.463213,,,,,,
Pakistan,1987,54.70892,,,,,,,
Pakistan,1990,53.757896,,,,,,,
Pakistan,1996,33.829582,,,,,,,
Pakistan,1998,37.652725,,,,,,,
