country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7,income_spell_8
Belize,2018,,,,88807,,,,,,,,,,,,
Benin,2003,1474639,,,,,,,,,,,,,,,
Benin,2011,,1964076,,,,,,,,,,,,,,
Benin,2015,,2777539,,,,,,,,,,,,,,
Benin,2018,,,2350708,,,,,,,,,,,,,
Benin,2021,,,2381131,,,,,,,,,,,,,
Bhutan,2003,136471,,,,,,,,,,,,,,,
Bhutan,2007,,144888,,,,,,,,,,,,,,
Bhutan,2012,,144600,,,,,,,,,,,,,,
Bhutan,2017,,164940,,,,,,,,,,,,,,
Bhutan,2022,,,124333,,,,,,,,,,,,,
Bolivia,1997,,,,,,,,,,2530370,,,,,,
Bolivia,1999,,,,,,,,,,,2930166,,,,,
Bolivia,2000,,,,,,,,,,,,2960713,,,,
Bolivia,2001,,,,,,,,,,,,2758968,,,,
Bolivia,2002,,,,,,,,,,,,2853775,,,,
Bolivia,2004,,,,,,,,,,,,,2578399,,,
Bolivia,2005,,,,,,,,,,,,,,2898334,,
Bolivia,2006,,,,,,,,,,,,,,2965694,,
Bolivia,2007,,,,,,,,,,,,,,3077320,,
Bolivia,2008,,,,,,,,,,,,,,2832154,,
Bolivia,2009,,,,,,,,,,,,,,2888345,,
Bolivia,2011,,,,,,,,,,,,,,2812532,,
Bolivia,2012,,,,,,,,,,,,,,2999051,,
Bolivia,2013,,,,,,,,,,,,,,3054715,,
Bolivia,2014,,,,,,,,,,,,,,2997273,,
Bolivia,2015,,,,,,,,,,,,,,3054909,,
Bolivia,2016,,,,,,,,,,,,,,3096566,,
Bolivia,2017,,,,,,,,,,,,,,3166388,,
Bolivia,2018,,,,,,,,,,,,,,2994037,,
Bolivia,2019,,,,,,,,,,,,,,2781895,,
Bolivia,2020,,,,,,,,,,,,,,2838706,,
Bolivia,2021,,,,,,,,,,,,,,2938351,,
Bolivia,2022,,,,,,,,,,,,,,2944623,,
Bolivia,2023,,,,,,,,,,,,,,2964201,,
Bolivia (urban),1990,,,,,,,,,1026595,,,,,,,
Bolivia (urban),1992,,,,,,,,,1041989,,,,,,,
Bosnia and Herzegovina,2001,579437,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2004,761238,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2007,,758382,,,,,,,,,,,,,,
Bosnia and Herzegovina,2011,,713924,,,,,,,,,,,,,,
Botswana,1985,339107,,,,,,,,,,,,,,,
Botswana,1993,426302,,,,,,,,,,,,,,,
Botswana,2002,,503037,,,,,,,,,,,,,,
Botswana,2009,,563911,,,,,,,,,,,,,,
Botswana,2015,,627989,,,,,,,,,,,,,,
Brazil,1981,,,,,,,,,37912314,,,,,,,
Brazil,1982,,,,,,,,,39502429,,,,,,,
Brazil,1983,,,,,,,,,40260338,,,,,,,
Brazil,1984,,,,,,,,,40221947,,,,,,,
Brazil,1985,,,,,,,,,41505224,,,,,,,
Brazil,1986,,,,,,,,,42141995,,,,,,,
Brazil,1987,,,,,,,,,44451825,,,,,,,
Brazil,1988,,,,,,,,,46094072,,,,,,,
Brazil,1989,,,,,,,,,46628183,,,,,,,
Brazil,1990,,,,,,,,,47927507,,,,,,,
Brazil,1992,,,,,,,,,48336883,,,,,,,
Brazil,1993,,,,,,,,,48228917,,,,,,,
Brazil,1995,,,,,,,,,50030539,,,,,,,
Brazil,1996,,,,,,,,,51948359,,,,,,,
